Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Value Date;IBAN;Account Type;Currency;Amount;Reversal Flag;Transaction Type;Transaction ID
1887;DB4213Z5967749;EURO FIXED INCOME 3;30112015;30112015;EMEM ME82 8882 8220 0882 2200;CABR;EUR;-377.68;N;S1;
1887;DB4213Z5967749;EURO FIXED INCOME 3;30112015;1122015;EMEM ME82 8882 8220 0882 2200;CABR;EUR;257004.56;N;EE;001887EEA0265000
17440;DB3015Z5967749;GLOBAL HIGH YIELD FUND;30112015;30112015;EMEM ME22 8880 0800 8228 8200;CABR;USD;5.2;N;S2;
17440;DB3015Z5967749;GLOBAL HIGH YIELD FUND;30112015;30112015;EMEM ME28 8880 0800 8228 8800;CABR;ZAR;3.66;N;S2;
17440;DB3015Z5967749;GLOBAL HIGH YIELD FUND;30112015;30112015;EMEM ME20 8888 0800 8228 8800;CABR;TRY;4.05;N;S2;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME22 8882 2800 8220 2200;CABR;CHF;-0.85;N;S1;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME22 8882 2800 8220 2200;CABR;CHF;0.85;N;S8;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME22 8880 2800 8220 8800;CABR;GBP;16.99;N;S2;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME22 8880 2800 8220 8800;CABR;GBP;-16.99;N;S7;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME88 8882 2800 8220 2800;CABR;USD;2.65;N;S2;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME88 8882 2800 8220 2800;CABR;USD;25.56;N;S6;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME88 8882 2800 8220 2800;CABR;USD;-0.82;N;S5;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME88 8882 2800 8220 2800;CABR;USD;-256.61;N;S5;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME22 8888 2800 8220 2200;CABR;EUR;-242.74;N;S1;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME22 8888 2800 8220 2200;CABR;EUR;242.74;N;S8;
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME88 8882 2800 8220 2800;CABR;USD;-24610.56;N;SE;018001SE00144000
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME88 8882 2800 8220 2800;CABR;USD;-14578.97;N;SE;018001SE00145000
18001;DB6215Z9163418;EQUILIBRIUM 2;30112015;30112015;EMEM ME88 8882 2800 8220 2800;CABR;USD;-13662.5;N;SE;018001SE00143000
17996;DB6214Z5921874;FINANCIAL INCOME STRATEGY 1;30112015;30112015;EMEM ME22 8888 2800 8222 2800;CABR;GBP;0.33;N;S2;
17996;DB6214Z5921874;FINANCIAL INCOME STRATEGY 1;30112015;30112015;EMEM ME88 8880 2800 8222 2800;CABR;NOK;0.01;N;S2;
17996;DB6214Z5921874;FINANCIAL INCOME STRATEGY 1;30112015;30112015;EMEM ME28 8882 2800 8222 2200;CABR;EUR;-2652.68;N;S1;
17996;DB6214Z5921874;FINANCIAL INCOME STRATEGY 1;30112015;30112015;EMEM ME22 8888 2800 8222 2800;CABR;GBP;-6155.63;N;SE;017996SE00024000
17996;DB6214Z5921874;FINANCIAL INCOME STRATEGY 1;30112015;30112015;EMEM ME28 8882 2800 8222 2200;CABR;EUR;-155.73;N;SE;017996SE00025000
17996;DB6214Z5921874;FINANCIAL INCOME STRATEGY 1;30112015;30112015;EMEM ME28 8882 2800 8222 2200;CABR;EUR;-1008.56;N;SE;017996SE00026000
1064;DB3015Z8717280;GLOBAL HIGH YIELD 2;30112015;30112015;EMEM ME22 8882 8822 2228 2800;CABR;USD;18.2;N;S2;
